rows__row__sentence_good,rows__row__sentence_bad,log(P(S1)),log(P(S2)),log(P(S1)) > log(P(S2)),Confidence,Ppl(S1),Ppl(S2)
Amanda was respected by some waitresses.,Amanda was respected by some picture.,-48.37578582763672,-49.595263957977295,1.0,1.2194781303405762,422.8312775579128,1193.968257131883
Some lake was passed by some cashiers.,Some lake was passed by some phenomena.,-50.27155685424805,-48.47936391830444,0.0,1.7921929359436035,535.898408529523,1018.028728151739
Lisa was kissed by the boys.,Lisa was kissed by the blouses.,-33.26691913604736,-43.1295051574707,1.0,9.86258602142334,255.82318510758572,474.0713698377774
Amanda isn't respected by the children.,Amanda isn't respected by the cups.,-43.47318649291992,-54.32672119140625,1.0,10.853534698486328,229.09764535793465,889.6606954125123
The glove was noticed by some woman.,The glove was noticed by some mouse.,-42.39657115936279,-48.20500183105469,1.0,5.8084306716918945,426.9440707356878,978.8993546510176
Gerald is hated by the teachers.,Gerald is hated by the pie.,-31.282451629638672,-39.05984592437744,1.0,7.7773942947387695,87.2625736565999,265.0657714114819
Most actresses weren't discussed by some offspring.,Most actresses weren't discussed by some ladder.,-60.70366668701172,-60.327720642089844,0.0,0.375946044921875,1974.278582408856,1883.6470188062895
These students were talked about by the teacher.,These students were talked about by the books.,-32.036399841308594,-40.69500732421875,1.0,8.658607482910156,54.847136545058284,161.88333403705863
Deborah was talked to by the teacher.,Deborah was talked to by the ellipses.,-35.42549514770508,-49.19520854949951,1.0,13.769713401794434,83.7793781824765,136.936984786534
Cafes were cleaned by some lady.,Cafes were cleaned by some hat.,-45.60781478881836,-54.702667236328125,1.0,9.094852447509766,299.15949181100586,932.4666665397782
Patricia is referenced by some offspring.,Patricia is referenced by some shawl.,-42.19402313232422,-48.122222900390625,1.0,5.928199768066406,414.7672793681354,409.6396466207619
Galileo is concealed by the woman.,Galileo is concealed by the horse.,-38.96283769607544,-39.74765872955322,1.0,0.7848210334777832,261.41774173583264,292.43340378009833
A lot of high schools aren't visited by some teachers.,A lot of high schools aren't visited by some socks.,-49.880817890167236,-59.3303656578064,1.0,9.44954776763916,93.18807922474062,220.00925315319577
Andrew was questioned by some pedestrian.,Andrew was questioned by some apple.,-38.44181156158447,-40.3363151550293,1.0,1.8945035934448242,606.0536985410396,831.07429276743
