,rows__row__sentence_good,rows__row__sentence_bad,log(P(S1)),log(P(S2)),log(P(S1)) > log(P(S2)),Confidence,Ppl(S1),Ppl(S2)
0,Tina revealed Margaret.,The horse revealed Margaret.,-49.78507041931152,-53.84030342102051,1.0,4.055233001708984,21099.69963093887,47479.849748851746
1,Danielle visited Irene.,The eye visited Irene.,-43.204498291015625,-48.377742767333984,1.0,5.173244476318359,5658.418177533639,15923.456512749925
2,Paul runs around the art galleries.,The river runs around the art galleries.,-48.144957065582275,-49.7156867980957,1.0,1.5707297325134277,970.538439121636,499.9263810901615
3,Most banks have praised Raymond.,The jackets have praised Raymond.,-60.33829307556152,-57.05397033691406,0.0,3.284322738647461,23304.04382603261,13480.440421522513
4,Every doctor was selling some restaurants.,A cup was selling some restaurants.,-56.146925926208496,-62.81769943237305,1.0,6.670773506164551,3044.1878176967743,7894.780009504536
5,Steve bikes to a public park.,Every fork bikes to a public park.,-38.96006393432617,-53.35643768310547,1.0,14.396373748779297,261.314175037483,788.0446182410222
6,Beth scares Roger.,A carriage scares Roger.,-43.661407470703125,-53.08791160583496,1.0,9.426504135131836,55014.489098520105,40846.74115289645
7,Melissa will clean a gate.,This mouth will clean a gate.,-46.90509557723999,-60.34261608123779,1.0,13.437520503997803,812.9974228411593,5543.457740279492
8,Tanya conceals Adam.,This ice cream conceals Adam.,-55.91738319396973,-61.84489345550537,1.0,5.9275102615356445,11154.116099379231,6870.4492724419415
9,Renee had praised Eric.,The beef had praised Eric.,-53.279160022735596,-55.560447692871094,1.0,2.281287670135498,2020.9208940967367,10509.917513718716
10,Mark hasn't respected a lot of actors.,Every government hasn't respected a lot of actors.,-56.22538375854492,-62.50197410583496,1.0,6.276590347290039,516.5979239947949,518.1150959767054
11,Matt could argue about Bethany.,Every mall could argue about Bethany.,-51.14877414703369,-69.31118774414062,1.0,18.162413597106934,1490.650283023767,5790.063096582406
12,Kathleen can't fix every carriage.,Some newspaper article can't fix every carriage.,-55.15198087692261,-67.05143594741821,1.0,11.899455070495605,458.5172323664164,1720.137570939076
13,Denise wasn't referencing Homer.,Rice wasn't referencing Homer.,-53.71493434906006,-53.1168098449707,0.0,0.5981245040893555,2150.7288203017283,1974.5892719509707
14,Vanessa visits Judy.,The ice cream visits Judy.,-38.3543586730957,-53.94078254699707,1.0,15.586423873901367,2144.9504580584457,8023.503288513164
15,Beverly would scan a movie.,A pepper would scan a movie.,-56.40609359741211,-64.27541637420654,1.0,7.869322776794434,1153.7372094362415,9722.541545716342
16,Liam has respected many waiters.,That banana has respected many waiters.,-58.308990478515625,-64.68437194824219,1.0,6.3753814697265625,1463.5551803796025,3247.193921265427
17,Some person hadn't passed all high schools.,That casserole hadn't passed all high schools.,-64.42990922927856,-69.51005697250366,1.0,5.080147743225098,1285.4688611286108,555.0710304829132
18,Carlos has sounded like all hospitals.,This ice has sounded like all hospitals.,-59.661559104919434,-69.3893051147461,1.0,9.72774600982666,5029.5202063432935,5846.878098147666
19,Wendy walked through some schools.,The spotlight walked through some schools.,-48.07491683959961,-55.215425968170166,1.0,7.140509128570557,407.2244896277857,2664.889828120406
20,Steve hasn't returned to a dancer.,The nose hasn't returned to a dancer.,-53.67011260986328,-60.721285343170166,1.0,7.051172733306885,819.5571031505716,851.3382154461068
21,Anne wasn't thinking about Paula.,Art wasn't thinking about Paula.,-42.643115520477295,-51.453460693359375,1.0,8.81034517288208,442.2492538110338,1556.9660779040755
22,Some women were scanning the essay.,A lot of dishes were scanning the essay.,-50.69992208480835,-59.92429161071777,1.0,9.224369525909424,1398.06723048829,779.1897700163998
23,Victoria wouldn't insult a man.,That unicycle wouldn't insult a man.,-48.95248556137085,-62.152756690979004,1.0,13.200271129608154,1089.2146631850744,998.1083669683161
24,Peter isn't thinking about a lot of schools.,Some turtle isn't thinking about a lot of schools.,-53.69217872619629,-62.27824115753174,1.0,8.58606243133545,214.6948832736535,287.62521246659793
25,Samuel shouldn't hate Susan.,Art shouldn't hate Susan.,-47.228901386260986,-51.56455993652344,1.0,4.335658550262451,851.4884300841521,5399.671097105125
26,Karla drives to every grocery store.,This chair drives to every grocery store.,-51.83578872680664,-57.95886993408203,1.0,6.123081207275391,651.627833116937,1400.8839955908832
27,Omar isn't talking to Erin.,A legislature isn't talking to Erin.,-49.28052520751953,-66.48674774169922,1.0,17.206222534179688,473.459156853213,4067.742546639923
