,rows__row__sentence_good,rows__row__sentence_bad,log(P(S1)),log(P(S2)),log(P(S1)) > log(P(S2)),Confidence,Ppl(S1),Ppl(S2)
0,Riya gave Anu a gift because she had a birthday.,Riya gave Anu a gift because she had a basket.,-68.72835540771484,-76.13928747177124,1.0,7.4109320640563965,197.70906270605394,349.6274877785453
1,Arjun called Kabir because he needed help with the project.,Arjun called Kabir because the project needed help with him.,-56.54610586166382,-79.95625591278076,1.0,23.410150051116943,77.45525779691778,468.94299914699945
2,Meera hugged Sanya because she was crying.,Meera hugged Sanya because the hallway was crying.,-61.62105083465576,-81.20331621170044,1.0,19.582265377044678,474.42573015275065,1606.9924308415164
3,The dog barked at the stranger because he entered the yard.,The dog barked at the stranger because the gate entered the yard.,-52.89219284057617,-62.09866428375244,1.0,9.20647144317627,58.47680725836013,84.40434467009942
4,Amit cleaned the table because it had food stains.,Amit cleaned the table because the food stains had a table.,-61.79995155334473,-80.46830224990845,1.0,18.66835069656372,275.3870090400835,487.782399545878
5,Tina put the book in the bag because it was too heavy to carry.,Tina put the book in the bag because the bag was too heavy to carry.,-56.86150360107422,-63.680724143981934,1.0,6.819220542907715,34.94739654520839,42.34815902402019
6,Rohan thanked Neeraj because he fixed the computer.,Rohan thanked Neeraj because the computer fixed him.,-64.55779838562012,-75.9089298248291,1.0,11.351131439208984,216.9824624637311,558.7734714244273
7,Priya covered the pot because it was boiling over.,Priya covered the pot because the boiling water was covering her.,-59.09506034851074,-76.2003960609436,1.0,17.10533571243286,215.35292921080608,351.2748367528814
8,The car hit the pole because it slipped on the wet road.,The car hit the pole because the pole slipped on the wet road.,-53.01594114303589,-58.526272773742676,1.0,5.510331630706787,59.03611165935191,65.39514729103892
9,Anita washed the spoon because it was dirty.,Anita washed the spoon because she was dirty.,-54.46472644805908,-61.22860908508301,1.0,6.763882637023926,231.9385914969855,456.16788403830225
10,Aman moved the chair because it was blocking the door.,Aman moved the chair because the door was blocking it.,-56.053035736083984,-60.92691993713379,1.0,4.873884201049805,106.81371237837232,160.33146492486517
11,Sneha closed the window because it was letting in too much dust.,Sneha closed the window because the dust was letting in too much window.,-60.22249460220337,-88.41783142089844,1.0,28.19533681869507,55.41403901540089,251.16609762604824
12,The wind shook the tree because it was strong today.,The wind shook the tree because the tree was strong today.,-50.89732885360718,-63.88354682922363,1.0,12.986217975616455,102.21003837388147,205.126918548235
