,rows__row__sentence_good,rows__row__sentence_bad,log(P(S1)),log(P(S2)),log(P(S1)) > log(P(S2)),Confidence,Ppl(S1),Ppl(S2)
0,Amanda was respected by some waitresses.,Amanda was respected by some picture.,-63.64026689529419,-65.372802734375,1.0,1.7325358390808105,1177.4905096864184,3539.0030486778587
1,Some lake was passed by some cashiers.,Some lake was passed by some phenomena.,-61.94625663757324,-58.60172653198242,0.0,3.3445301055908203,975.4680471542284,1518.101494659956
2,Lisa was kissed by the boys.,Lisa was kissed by the blouses.,-43.51953077316284,-56.455135345458984,1.0,12.935604572296143,501.2353868290473,1160.8315934735997
3,Amanda isn't respected by the children.,Amanda isn't respected by the cups.,-49.15674591064453,-59.99528217315674,1.0,10.838536262512207,235.53526718331196,785.3601981462085
4,The glove was noticed by some woman.,The glove was noticed by some mouse.,-54.39850997924805,-58.15338897705078,1.0,3.7548789978027344,897.6800808355446,1435.3638099103487
5,Gerald is hated by the teachers.,Gerald is hated by the pie.,-47.017234802246094,-55.44908142089844,1.0,8.431846618652344,356.7924892873791,1023.655350953672
6,Most actresses weren't discussed by some offspring.,Most actresses weren't discussed by some ladder.,-69.73703098297119,-68.12219953536987,0.0,1.6148314476013184,2318.2294335684537,1937.4603213368082
7,These students were talked about by the teacher.,These students were talked about by the books.,-41.264081954956055,-49.918561935424805,1.0,8.65447998046875,97.99319083637103,256.34056225989724
8,Deborah was talked to by the teacher.,Deborah was talked to by the ellipses.,-48.54975986480713,-61.08987617492676,1.0,12.540116310119629,220.17391631558965,258.17176179687385
9,Cafes were cleaned by some lady.,Cafes were cleaned by some hat.,-57.02866458892822,-62.0404257774353,1.0,5.01176118850708,564.8263211290084,985.7281847851064
10,Patricia is referenced by some offspring.,Patricia is referenced by some shawl.,-58.661842346191406,-70.95572805404663,1.0,12.293885707855225,1529.5522022409168,2654.3890223447897
11,Galileo is concealed by the woman.,Galileo is concealed by the horse.,-53.42552185058594,-54.84763717651367,1.0,1.4221153259277344,794.8792619210666,949.5181515863687
12,A lot of high schools aren't visited by some teachers.,A lot of high schools aren't visited by some socks.,-63.41147232055664,-72.99203681945801,1.0,9.580564498901367,197.21398550141754,438.1975056821967
13,Andrew was questioned by some pedestrian.,Andrew was questioned by some apple.,-54.007744789123535,-55.676307678222656,1.0,1.668562889099121,2242.6020782299397,2846.251771415882
14,A lot of computers aren't bought by the senators.,A lot of computers aren't bought by the gate.,-67.1322569847107,-65.94077110290527,0.0,1.19148588180542,447.1671460107862,401.2623909379119
15,Those schools are cleaned by the customers.,Those schools are cleaned by the socks.,-54.53331756591797,-58.8092155456543,1.0,4.275897979736328,912.9350105403421,1557.9902107679077
16,Chad wasn't forgotten by the teacher.,Chad wasn't forgotten by the brochure.,-48.404937744140625,-53.82677221298218,1.0,5.421834468841553,216.65937417810463,395.73803640030934
17,Deanna was hired by the offspring.,Deanna was hired by the candles.,-54.86758041381836,-56.22876739501953,1.0,1.3611869812011719,951.8881626926284,1128.4450751199113
18,Lisa wasn't cured by the ladies.,Lisa wasn't cured by the deer.,-55.47666931152344,-50.878562927246094,0.0,4.598106384277344,1027.1915061231796,578.1424929622351
19,Valerie was hugged by the pedestrian.,Valerie was hugged by the diagnoses.,-51.270782470703125,-53.00941848754883,1.0,1.7386360168457031,607.1936746826751,754.5920793173168
20,Nina isn't escaped from by some customer.,Nina isn't escaped from by some movies.,-68.55512142181396,-67.83792018890381,0.0,0.7172012329101562,949.0980781171079,883.412296773259
21,A lot of mountains were ascended by the customer.,A lot of mountains were ascended by the dog.,-61.89289665222168,-60.5183687210083,0.0,1.374527931213379,277.7237649363432,245.10088069342197
22,Tamara was praised by some waitress.,Tamara was praised by some cups.,-54.992950439453125,-53.63100814819336,0.0,1.3619422912597656,966.9229423359843,815.5608356846944
23,William is discovered by some students.,William is discovered by some pie.,-46.11132574081421,-56.21716785430908,1.0,10.105842113494873,725.8419189974696,3074.8886837750542
24,Mitchell was remembered by some men.,Mitchell was remembered by some jacket.,-46.88574981689453,-53.894351959228516,1.0,7.008602142333984,350.97630957924616,842.8542047171061
25,Rachel isn't investigated by the dancer.,Rachel isn't investigated by the books.,-54.86650085449219,-51.7911262512207,0.0,3.0753746032714844,951.7597188913038,648.0000551126053
26,Grace was returned to by some cashiers.,Grace was returned to by some theses.,-59.58275842666626,-59.627197265625,1.0,0.044438838958740234,750.1749844009404,753.8882448360434
27,Michael is loved by some offspring.,Michael is loved by some bicycle.,-47.184561252593994,-51.36011743545532,1.0,4.175556182861328,846.1118891278834,1536.342135909553
28,Nancy wasn't attacked by some actor.,Nancy wasn't attacked by some screens.,-59.939449310302734,-64.4046106338501,1.0,4.465161323547363,780.5031784369125,1281.8605397354154
29,That company wasn't questioned by the customer.,That company wasn't questioned by the face.,-50.6969690322876,-58.07550287246704,1.0,7.378533840179443,279.49839750473546,634.4976938136239
30,Jill isn't returned to by the doctors.,Jill isn't returned to by the sock.,-54.13473129272461,-58.77711296081543,1.0,4.64238166809082,224.40963944904036,356.9912587127984
31,Ruth was listened to by the senator.,Ruth was listened to by the phenomena.,-54.974156856536865,-59.45898628234863,1.0,4.484829425811768,449.54665908967274,739.9288488494707
32,Sabrina was listened to by some adult.,Sabrina was listened to by some organization.,-57.661580085754395,-55.55624341964722,0.0,2.1053366661071777,605.9771213146787,479.5825008485472
33,That library was toured by the dancers.,That library was toured by the apples.,-56.16952896118164,-60.396270751953125,1.0,4.226741790771484,1120.120020991954,1899.8568951847346
34,Rose isn't seen by the waiters.,Rose isn't seen by the spotlights.,-52.0671272277832,-55.08977508544922,1.0,3.0226478576660156,325.4589560594686,455.35900080646115
35,All closets were bought by the patient.,All closets were bought by the peppers.,-52.138023376464844,-56.49612045288086,1.0,4.358097076416016,676.7168357068691,1166.7939543774426
36,Randolf was cared for by the waiter.,Randolf was cared for by the drawing.,-57.23673105239868,-60.164445877075195,1.0,2.9277148246765137,578.0363659720504,800.2614051931852
37,Janet was fired by some offspring.,Janet was fired by some scarves.,-54.27320098876953,-55.69849491119385,1.0,1.4252939224243164,883.7287075246124,487.2228699014051
38,Russell wasn't referenced by some girl.,Russell wasn't referenced by some hat.,-61.65255260467529,-64.53405618667603,1.0,2.8815035820007324,944.1486507295232,1300.430558430942
39,Carmen is talked about by the waiters.,Carmen is talked about by the essay.,-51.86076354980469,-51.59965515136719,0.0,0.2611083984375,111.5658353435653,174.15844967122828
40,A story wasn't scanned by the doctor.,A story wasn't scanned by the newspaper article.,-61.96491193771362,-68.59564304351807,1.0,6.630731105804443,977.4921051964294,952.9517800847744
41,Sherry wasn't criticized by some customers.,Sherry wasn't criticized by some casseroles.,-60.98522758483887,-74.44736671447754,1.0,13.462139129638672,876.6750492283587,869.5209506762435
42,Joseph isn't praised by the pedestrians.,Joseph isn't praised by the hypothesis.,-53.95085525512695,-54.769927978515625,1.0,0.8190727233886719,848.8282821400942,940.3395160270516
43,Gregory wasn't helped by some teenager.,Gregory wasn't helped by some legislature.,-58.841657638549805,-58.69118785858154,0.0,0.15046977996826172,690.8771069546412,679.4224475236211
44,Every student was listened to by some guys.,Every student was listened to by some rabbit.,-57.786365032196045,-59.387094497680664,1.0,1.6007294654846191,614.4375065575335,734.041858779091
45,Mitchell isn't hated by some man.,Mitchell isn't hated by some brochures.,-54.38824653625488,-66.15537357330322,1.0,11.76712703704834,421.21294105009,409.1676074645532
46,Those stairs aren't climbed down by the cashiers.,Those stairs aren't climbed down by the dress.,-60.99170160293579,-58.971238136291504,0.0,2.020463466644287,255.87784067348605,363.9890605056258
47,Some mushrooms were brought by the actors.,Some mushrooms were brought by the carts.,-50.43358612060547,-53.559226989746094,1.0,3.125640869140625,546.8629732374527,808.2758297490752
48,Most children aren't listened to by some girls.,Most children aren't listened to by some fungus.,-65.43769836425781,-70.08237361907959,1.0,4.644675254821777,694.9013106559477,1105.7038305490482
49,Teresa is attacked by some child.,Teresa is attacked by some cacti.,-53.65135192871094,-55.97207069396973,1.0,2.320718765258789,817.6374237488623,269.67217898111574
50,A hospital is exited by some adults.,A hospital is exited by some coats.,-57.76697540283203,-58.37773895263672,1.0,0.6107635498046875,1367.6810567565174,1476.1865249294603
51,These actresses were referenced by some lady.,These actresses were referenced by some box.,-62.00861358642578,-66.57063293457031,1.0,4.562019348144531,2324.073393849117,4110.619873090594
52,Stacey wasn't fired by some guest.,Stacey wasn't fired by some geese.,-64.70015144348145,-74.75343227386475,1.0,10.0532808303833,1324.652865697211,1764.007039820065
53,A mall is explored by the people.,A mall is explored by the beef.,-51.93406677246094,-63.21472930908203,1.0,11.280662536621094,659.6822941065153,2702.253040948866
54,The women were kissed by some teenagers.,The women were kissed by some glasses.,-53.912357330322266,-60.293663024902344,1.0,6.381305694580078,844.7533289094071,1875.644997866859
55,The commentaries weren't examined by some lady.,The commentaries weren't examined by some bike.,-71.33519172668457,-73.74211311340332,1.0,2.40692138671875,1253.2797230872238,1594.3339014392734
56,Homer isn't described by the boys.,Homer isn't described by the snake.,-51.92218494415283,-51.91537427902222,0.0,0.006810665130615234,320.2595178704208,320.017256176485
57,Spain is toured by the actress.,Spain is toured by the turtle.,-48.64136028289795,-51.91182565689087,1.0,3.27046537399292,1041.8630197510538,1662.3293054439378
58,Some hills aren't climbed down by some drivers.,Some hills aren't climbed down by some government.,-63.295888900756836,-71.50176048278809,1.0,8.20587158203125,560.9259442225867,1274.3302790792209
59,Aaron isn't referenced by the teacher.,Aaron isn't referenced by the picture.,-52.282752990722656,-53.52303695678711,1.0,1.2402839660644531,689.0708692420665,804.627646597508
60,Carolyn is referenced by some adults.,Carolyn is referenced by some book.,-52.840518951416016,-51.358795166015625,0.0,1.4817237854003906,738.8277946235182,613.9106496111995
61,Donna wasn't disliked by the patients.,Donna wasn't disliked by the apple.,-46.96173334121704,-56.25491380691528,1.0,9.293180465698242,184.5592169838688,518.2957257791787
62,The commentaries weren't scanned by the patient.,The commentaries weren't scanned by the snake.,-63.71896743774414,-64.4983434677124,1.0,0.7793760299682617,585.1666882207176,632.5974923151153
63,Many grocery stores are passed by the children.,Many grocery stores are passed by the trucks.,-53.98603963851929,-54.71728706359863,1.0,0.7312474250793457,402.80349949324864,436.89747763708
64,Some book isn't scanned by some dancer.,Some book isn't scanned by some reports.,-61.450279712677,-58.398213386535645,0.0,3.0520663261413574,923.1658064225753,657.661509874694
65,Julia was talked to by the lady.,Julia was talked to by the sheep.,-54.69229316711426,-53.77326965332031,0.0,0.9190235137939453,435.68585300244604,393.3924598936024
66,A lot of malls are exited by some children.,A lot of malls are exited by some screens.,-66.28646850585938,-70.60517311096191,1.0,4.318704605102539,756.4578772537329,1165.04770201387
67,Mitchell was discussed by some boy.,Mitchell was discussed by some pork.,-52.129974365234375,-58.339683532714844,1.0,6.209709167480469,676.0363154326777,1469.1810880560554
68,Kevin was loved by the teenagers.,Kevin was loved by the broccoli.,-43.05281448364258,-48.684205055236816,1.0,5.631390571594238,468.90588144783,1048.2594871368178
69,The cafes aren't appreciated by some driver.,The cafes aren't appreciated by some ellipsis.,-61.87717580795288,-67.61415004730225,1.0,5.736974239349365,968.0093597946784,863.8637025919098
70,Many glasses aren't cleaned by the men.,Many glasses aren't cleaned by the committees.,-59.21006441116333,-59.69169902801514,1.0,0.48163461685180664,719.7443256519407,759.3106658812253
71,Cilantro wasn't hidden by some teacher.,Cilantro wasn't hidden by some fish.,-71.21819496154785,-71.63994789123535,1.0,0.4217529296875,1238.7021981923197,1292.0621528719496
72,That hill is seen by the children.,That hill is seen by the rabbits.,-48.321598052978516,-54.269657135009766,1.0,5.94805908203125,419.97691967904956,883.337318557245
73,Debra wasn't admired by the drivers.,Debra wasn't admired by the geese.,-55.65370845794678,-59.77221488952637,1.0,4.11850643157959,484.8043387182062,394.3431577353508
74,These sketches were researched by some girls.,These sketches were researched by some axes.,-57.2917594909668,-64.08592987060547,1.0,6.794170379638672,1288.8040010962306,3013.149733837645
75,Bethany isn't thought about by the ladies.,Bethany isn't thought about by the windows.,-53.22131156921387,-55.54948329925537,1.0,2.328171730041504,204.81992058599556,258.5136067581676
76,A grocery store is researched by the actor.,A grocery store is researched by the ellipsis.,-59.852970600128174,-62.472853660583496,1.0,2.6198830604553223,773.0394379922819,516.6085164260866
77,That cafe isn't driven to by some teachers.,That cafe isn't driven to by some documentary.,-68.0453872680664,-69.57866668701172,1.0,1.5332794189453125,901.9316370738604,1051.388203690233
78,Spain wasn't toured by some customer.,Spain wasn't toured by some company.,-62.14677047729492,-59.902259826660156,0.0,2.2445106506347656,2364.5578070046445,1786.0870104958137
79,That ladder wasn't descended by the cashier.,That ladder wasn't descended by the convertibles.,-59.18627643585205,-63.27580451965332,1.0,4.0895280838012695,717.8444752633101,559.8004897602656
80,Thomas wasn't hugged by some guest.,Thomas wasn't hugged by some projectors.,-59.35079574584961,-62.68163251876831,1.0,3.330836772918701,1667.1143359166858,1058.5187830837936
81,That fish is taken by the teacher.,That fish is taken by the series.,-44.60383224487305,-48.150665283203125,1.0,3.546833038330078,263.8759300134144,411.0986295990191
82,This art gallery wasn't passed by some woman.,This art gallery wasn't passed by some teeth.,-68.37071895599365,-70.21556854248047,1.0,1.8448495864868164,931.756855133585,1120.5297620036692
83,These unicycles are seen by the guests.,These unicycles are seen by the deer.,-58.480191230773926,-58.536577224731445,1.0,0.05638599395751953,346.5472327099772,348.50679312319573
84,Timothy was praised by the waitresses.,Timothy was praised by the geese.,-57.118765354156494,-57.200536251068115,1.0,0.0817708969116211,570.5093074942001,575.7163773584106
85,Curtis is concealed by some teenager.,Curtis is concealed by some paralysis.,-59.731022357940674,-61.31740093231201,1.0,1.586378574371338,762.6355490995865,909.6360259656618
86,These universities were boycotted by some lady.,These universities were boycotted by some mirrors.,-64.37902021408081,-64.22885084152222,0.0,0.15016937255859375,1278.2209000382663,1257.070109623117
87,Many malls aren't messed up by some actresses.,Many malls aren't messed up by some skateboards.,-71.21144771575928,-71.81207418441772,1.0,0.6006264686584473,1237.8666972715152,684.282182731814
88,Deanna isn't boasted about by some waiters.,Deanna isn't boasted about by some wheelbarrows.,-69.56041097640991,-75.66331672668457,1.0,6.102905750274658,557.6177685873075,547.4528799071398
89,Jacqueline was talked to by the cashiers.,Jacqueline was talked to by the feet.,-55.321714878082275,-56.46583557128906,1.0,1.144120693206787,152.8178680045558,283.32185752099315
90,That patient wasn't helped by the boy.,That patient wasn't helped by the reports.,-52.38628005981445,-51.133302211761475,0.0,1.2529778480529785,337.2072695358134,293.3827362123627
