rows__row__sentence_good,rows__row__sentence_bad,log(P(S1)),log(P(S2)),log(P(S1)) > log(P(S2))
Amanda was respected by some waitresses.,Amanda was respected by some picture.,,,
Some lake was passed by some cashiers.,Some lake was passed by some phenomena.,,,
Lisa was kissed by the boys.,Lisa was kissed by the blouses.,,,
Amanda isn't respected by the children.,Amanda isn't respected by the cups.,,,
The glove was noticed by some woman.,The glove was noticed by some mouse.,,,
Gerald is hated by the teachers.,Gerald is hated by the pie.,,,
Most actresses weren't discussed by some offspring.,Most actresses weren't discussed by some ladder.,,,
These students were talked about by the teacher.,These students were talked about by the books.,,,
Deborah was talked to by the teacher.,Deborah was talked to by the ellipses.,,,
Cafes were cleaned by some lady.,Cafes were cleaned by some hat.,,,
Patricia is referenced by some offspring.,Patricia is referenced by some shawl.,,,
Galileo is concealed by the woman.,Galileo is concealed by the horse.,,,
A lot of high schools aren't visited by some teachers.,A lot of high schools aren't visited by some socks.,,,
Andrew was questioned by some pedestrian.,Andrew was questioned by some apple.,,,
A lot of computers aren't bought by the senators.,A lot of computers aren't bought by the gate.,,,
Those schools are cleaned by the customers.,Those schools are cleaned by the socks.,,,
Chad wasn't forgotten by the teacher.,Chad wasn't forgotten by the brochure.,,,
Deanna was hired by the offspring.,Deanna was hired by the candles.,,,
Lisa wasn't cured by the ladies.,Lisa wasn't cured by the deer.,,,
Valerie was hugged by the pedestrian.,Valerie was hugged by the diagnoses.,,,
Nina isn't escaped from by some customer.,Nina isn't escaped from by some movies.,,,
A lot of mountains were ascended by the customer.,A lot of mountains were ascended by the dog.,,,
Tamara was praised by some waitress.,Tamara was praised by some cups.,,,
William is discovered by some students.,William is discovered by some pie.,,,
Mitchell was remembered by some men.,Mitchell was remembered by some jacket.,,,
Rachel isn't investigated by the dancer.,Rachel isn't investigated by the books.,,,
Grace was returned to by some cashiers.,Grace was returned to by some theses.,,,
Michael is loved by some offspring.,Michael is loved by some bicycle.,,,
Nancy wasn't attacked by some actor.,Nancy wasn't attacked by some screens.,,,
That company wasn't questioned by the customer.,That company wasn't questioned by the face.,,,
Jill isn't returned to by the doctors.,Jill isn't returned to by the sock.,,,
Ruth was listened to by the senator.,Ruth was listened to by the phenomena.,,,
Sabrina was listened to by some adult.,Sabrina was listened to by some organization.,,,
That library was toured by the dancers.,That library was toured by the apples.,,,
Rose isn't seen by the waiters.,Rose isn't seen by the spotlights.,,,
All closets were bought by the patient.,All closets were bought by the peppers.,,,
Randolf was cared for by the waiter.,Randolf was cared for by the drawing.,,,
Janet was fired by some offspring.,Janet was fired by some scarves.,,,
Russell wasn't referenced by some girl.,Russell wasn't referenced by some hat.,,,
Carmen is talked about by the waiters.,Carmen is talked about by the essay.,,,
