rows__row__sentence_good,rows__row__sentence_bad,log(P(S1)),log(P(S2)),log(P(S1)) > log(P(S2))
Riya gave Anu a gift because she had a birthday.,Riya gave Anu a gift because she had a basket.,,,
Arjun called Kabir because he needed help with the project.,Arjun called Kabir because the project needed help with him.,,,
Meera hugged Sanya because she was crying.,Meera hugged Sanya because the hallway was crying.,,,
The dog barked at the stranger because he entered the yard.,The dog barked at the stranger because the gate entered the yard.,,,
Amit cleaned the table because it had food stains.,Amit cleaned the table because the food stains had a table.,,,
Tina put the book in the bag because it was too heavy to carry.,Tina put the book in the bag because the bag was too heavy to carry.,,,
Rohan thanked Neeraj because he fixed the computer.,Rohan thanked Neeraj because the computer fixed him.,,,
Priya covered the pot because it was boiling over.,Priya covered the pot because the boiling water was covering her.,,,
The car hit the pole because it slipped on the wet road.,The car hit the pole because the pole slipped on the wet road.,,,
Anita washed the spoon because it was dirty.,Anita washed the spoon because she was dirty.,,,
Aman moved the chair because it was blocking the door.,Aman moved the chair because the door was blocking it.,,,
Sneha closed the window because it was letting in too much dust.,Sneha closed the window because the dust was letting in too much window.,,,
The wind shook the tree because it was strong today.,The wind shook the tree because the tree was strong today.,,,
Kabir threw the ball because it slipped from his hand.,Kabir threw the ball because his hand slipped from the ball.,,,
Ritu fed the cat because it was hungry.,Ritu fed the cat because the food was hungry.,,,
The teacher scolded the student because he was talking.,The teacher scolded the student because the classroom was talking.,,,
Ayesha put the towel in the sun because it was wet.,Ayesha put the towel in the sun because the sun was wet.,,,
Raghav carried the box because it was too heavy for his sister.,Raghav carried the box because his sister was too heavy for it.,,,
The monkey dropped the fruit because it was slippery.,The monkey dropped the fruit because the tree was slippery.,,,
Mehul stopped the bike because it was skidding.,Mehul stopped the bike because the road was skidding.,,,
The bottle broke the tile because it fell from the shelf.,The bottle broke the tile because the tile fell from the shelf.,,,
Ria stitched the shirt because it had a tear.,Ria stitched the shirt because the tear had a shirt.,,,
The chef covered the pan because it was splashing oil.,The chef covered the pan because the oil was covering the chef.,,,
Lakshya pushed the trolley because it was blocking the exit.,Lakshya pushed the trolley because the exit was blocking it.,,,
The candle melted the toy because it touched it.,The candle melted the toy because the toy touched it.,,,
Arnav mopped the floor because it was sticky.,Arnav mopped the floor because he was sticky.,,,
Simran saved the file because it was important.,Simran saved the file because the importance saved her.,,,
The child cried because the balloon popped.,The child cried because the child popped.,,,
Nisha opened the umbrella because it was raining.,Nisha opened the umbrella because the rain opened her.,,,
The cup fell from the table because it was shaking.,The cup fell from the table because the table was shaking the cup deliberately.,,,
Rohan moved the lamp because it was flickering.,Rohan moved the lamp because he was flickering.,,,
Aditi shifted the crate because it was blocking the path.,Aditi shifted the crate because the path was blocking her.,,,
The ball rolled into the drain because it was sloping.,The ball rolled into the drain because the drain was rolling.,,,
Sarthak moved the fan because it was too close to the curtain.,Sarthak moved the fan because the curtain was too close to him.,,,
The cat chased the mouse because it ran under the sofa.,The cat chased the mouse because the sofa ran under the mouse.,,,
Meera pressed the button because it wasn’t working properly.,Meera pressed the button because she wasn’t working properly.,,,
The truck splashed the pedestrian because it went through a puddle.,The truck splashed the pedestrian because the pedestrian went through a puddle.,,,
Karan covered the bowl because it was attracting flies.,Karan covered the bowl because the flies were covering the bowl.,,,
The wind blew the papers because they were light.,The wind blew the papers because the wind was light.,,,
Asha closed the drawer because it was sticking out.,Asha closed the drawer because she was sticking out.,,,
The mechanic fixed the bike because it had a loose chain.,The mechanic fixed the bike because the chain had a loose mechanic.,,,
Piyush dried the bench because it was wet from the rain.,Piyush dried the bench because the rain dried him.,,,
The clock woke the child because it was too loud.,The clock woke the child because the child was too loud.,,,
Sana pushed the trolley because it was blocking the aisle.,Sana pushed the trolley because the aisle was blocking her.,,,
The dog avoided the bucket because it was slippery.,The dog avoided the bucket because the bucket was avoiding the dog.,,,
Ananya folded the blanket because it was wrinkled.,Ananya folded the blanket because she was wrinkled.,,,
The laptop shut down because it overheated.,The laptop shut down because the table overheated.,,,
Ravi cleaned the mirror because it was dusty.,Ravi cleaned the mirror because the dust cleaned it.,,,
The bus stopped because it reached the signal.,The bus stopped because the signal reached it.,,,
The bulb fused because it received a voltage spike.,The bulb fused because the spike received a bulb.,,,
