,rows__row__sentence_good,rows__row__sentence_bad,log(P(S1)),log(P(S2)),log(P(S1)) > log(P(S2)),Confidence,Ppl(S1),Ppl(S2)
0,Riya gave Anu a gift because she had a birthday.,Riya gave Anu a gift because she had a basket.,-55.073737144470215,-65.54855632781982,1.0,10.47481918334961,51.10275284405026,107.9901195943204
1,Arjun called Kabir because he needed help with the project.,Arjun called Kabir because the project needed help with him.,-54.3377890586853,-68.3384199142456,1.0,14.000630855560303,48.48578426539683,131.80396540657625
2,Meera hugged Sanya because she was crying.,Meera hugged Sanya because the hallway was crying.,-50.23577165603638,-68.76133918762207,1.0,18.525567531585693,96.24416349987536,308.00363934794007
3,The dog barked at the stranger because he entered the yard.,The dog barked at the stranger because the gate entered the yard.,-43.3063268661499,-55.22532272338867,1.0,11.91899585723877,27.97345186669141,51.659076386647705
4,Amit cleaned the table because it had food stains.,Amit cleaned the table because the food stains had a table.,-50.61935806274414,-67.12602233886719,1.0,16.506664276123047,67.91655630958606,120.87003547248446
5,Tina put the book in the bag because it was too heavy to carry.,Tina put the book in the bag because the bag was too heavy to carry.,-51.26482391357422,-57.534032106399536,1.0,6.269208192825317,24.632125228819827,29.49895472857075
6,Rohan thanked Neeraj because he fixed the computer.,Rohan thanked Neeraj because the computer fixed him.,-62.479732513427734,-71.22538948059082,1.0,8.745656967163086,122.25796385772504,239.577298412545
7,Priya covered the pot because it was boiling over.,Priya covered the pot because the boiling water was covering her.,-49.77967643737793,-64.46332454681396,1.0,14.683648109436035,63.32665748351335,99.93532051891934
8,The car hit the pole because it slipped on the wet road.,The car hit the pole because the pole slipped on the wet road.,-41.874022245407104,-50.66132307052612,1.0,8.787300825119019,25.05513093402382,37.28779023838416
9,Anita washed the spoon because it was dirty.,Anita washed the spoon because she was dirty.,-45.292768478393555,-51.62399768829346,1.0,6.331229209899902,92.69150677640212,174.58291193526034
10,Aman moved the chair because it was blocking the door.,Aman moved the chair because the door was blocking it.,-49.62301254272461,-58.24720573425293,1.0,8.62419319152832,62.50528075337172,128.24388610103765
11,Sneha closed the window because it was letting in too much dust.,Sneha closed the window because the dust was letting in too much window.,-54.34929013252258,-73.95858764648438,1.0,19.609297513961792,37.46046120357498,101.73910352302364
12,The wind shook the tree because it was strong today.,The wind shook the tree because the tree was strong today.,-47.10379981994629,-52.54400825500488,1.0,5.440208435058594,72.39691007762801,79.73170847827281
13,Kabir threw the ball because it slipped from his hand.,Kabir threw the ball because his hand slipped from the ball.,-49.85317039489746,-56.49380588531494,1.0,6.6406354904174805,63.71569147570924,77.14427544972983
14,Ritu fed the cat because it was hungry.,Ritu fed the cat because the food was hungry.,-46.893277168273926,-60.74342489242554,1.0,13.850147724151611,108.78002423973052,250.16721034687953
