rows__row__sentence_good,rows__row__sentence_bad,log(P(S1)),log(P(S2)),log(P(S1)) > log(P(S2)),Confidence,Ppl(S1),Ppl(S2)
Tina revealed Margaret.,The horse revealed Margaret.,-37.472755432128906,-42.78392791748047,1.0,5.3111724853515625,11709.887601407261,44177.98996158199
Danielle visited Irene.,The eye visited Irene.,-29.353811264038086,-37.8654899597168,1.0,8.511678695678711,1538.330191660952,12917.94217059398
Paul runs around the art galleries.,The river runs around the art galleries.,-35.60034656524658,-39.86737775802612,1.0,4.267031192779541,377.43225446278274,297.47782360945183
Most banks have praised Raymond.,The jackets have praised Raymond.,-40.00648498535156,-49.23112869262695,1.0,9.22464370727539,2984.8267891878286,18886.935875524465
Every doctor was selling some restaurants.,A cup was selling some restaurants.,-45.542120933532715,-48.43680381774902,1.0,2.8946828842163086,1979.0129492717617,3206.0682985366334
Steve bikes to a public park.,Every fork bikes to a public park.,-27.057048797607422,-48.460782051086426,1.0,21.403733253479004,90.87710805917591,1015.3299011610816
Beth scares Roger.,A carriage scares Roger.,-33.002320289611816,-41.68193817138672,1.0,8.679617881774902,59920.46807766414,33539.68162203746
Melissa will clean a gate.,This mouth will clean a gate.,-38.95155715942383,-46.02088451385498,1.0,7.069327354431152,659.793028882202,2143.3973994077846
Tanya conceals Adam.,This ice cream conceals Adam.,-38.19209575653076,-47.37754154205322,1.0,9.185445785522461,2076.458653632333,2687.205066391071
Renee had praised Eric.,The beef had praised Eric.,-40.86189937591553,-47.34785556793213,1.0,6.485956192016602,907.1579338201984,12959.327959519798
Mark hasn't respected a lot of actors.,Every government hasn't respected a lot of actors.,-43.577022552490234,-56.1354718208313,1.0,12.558449268341064,232.0906014820382,511.46269324996877
Matt could argue about Bethany.,Every mall could argue about Bethany.,-43.39570140838623,-55.104422092437744,1.0,11.708720684051514,1383.8391404135252,2622.9641151209753
Kathleen can't fix every carriage.,Some newspaper article can't fix every carriage.,-42.30949783325195,-59.78731155395508,1.0,17.477813720703125,198.08321677802448,1760.6070516001912
