rows__row__sentence_good,rows__row__sentence_bad,log(P(S1)),log(P(S2)),log(P(S1)) > log(P(S2)),Confidence,Ppl(S1),Ppl(S2)
Riya gave Anu a gift because she had a birthday.,Riya gave Anu a gift because she had a basket.,-42.745728492736816,-55.66706085205078,1.0,12.921332359313965,35.23866936249081,103.43275978516161
Arjun called Kabir because he needed help with the project.,Arjun called Kabir because the project needed help with him.,-42.675270080566406,-59.629594802856445,1.0,16.95432472229004,35.032370542947476,143.90205581968954
Meera hugged Sanya because she was crying.,Meera hugged Sanya because the hallway was crying.,-43.265846729278564,-65.7758617401123,1.0,22.51001501083374,122.402684650055,718.8021701336688
The dog barked at the stranger because he entered the yard.,The dog barked at the stranger because the gate entered the yard.,-41.357239723205566,-56.14895582199097,1.0,14.7917160987854,31.38834493514972,75.1247787564561
Amit cleaned the table because it had food stains.,Amit cleaned the table because the food stains had a table.,-48.67040157318115,-67.40538024902344,1.0,18.734978675842285,129.9357577706838,275.0945951142694
Tina put the book in the bag because it was too heavy to carry.,Tina put the book in the bag because the bag was too heavy to carry.,-39.566330909729004,-46.236568450927734,1.0,6.6702375411987305,13.981784761240613,17.989450957545916
Rohan thanked Neeraj because he fixed the computer.,Rohan thanked Neeraj because the computer fixed him.,-41.33345127105713,-55.86811876296997,1.0,14.534667491912842,42.84489404727076,160.6004956171929
Priya covered the pot because it was boiling over.,Priya covered the pot because the boiling water was covering her.,-39.455933570861816,-55.55133819580078,1.0,16.095404624938965,51.70700973222546,102.44009441408197
The car hit the pole because it slipped on the wet road.,The car hit the pole because the pole slipped on the wet road.,-41.626479148864746,-51.660685539245605,1.0,10.03420639038086,32.100553160614645,53.19151481319991
Anita washed the spoon because it was dirty.,Anita washed the spoon because she was dirty.,-44.449087142944336,-51.854722023010254,1.0,7.405634880065918,139.60087529458718,317.86786588179933
Aman moved the chair because it was blocking the door.,Aman moved the chair because the door was blocking it.,-45.67534589767456,-50.40923070907593,1.0,4.733884811401367,63.5803316998369,97.77386743445642
Sneha closed the window because it was letting in too much dust.,Sneha closed the window because the dust was letting in too much window.,-50.447813510894775,-70.3543210029602,1.0,19.90650749206543,36.723440275299986,108.88454131845022
The wind shook the tree because it was strong today.,The wind shook the tree because the tree was strong today.,-45.16397953033447,-53.07834434509277,1.0,7.914364814758301,91.5053968979604,124.62435233678264
Kabir threw the ball because it slipped from his hand.,Kabir threw the ball because his hand slipped from the ball.,-48.172325134277344,-53.04616689682007,1.0,4.873841762542725,55.387859539753705,59.17353373731659
Ritu fed the cat because it was hungry.,Ritu fed the cat because the food was hungry.,-39.576895236968994,-54.04402256011963,1.0,14.467127323150635,81.24203650073375,222.38325249514787
The teacher scolded the student because he was talking.,The teacher scolded the student because the classroom was talking.,-33.61293148994446,-47.18385314941406,1.0,13.570921659469604,21.236492464705925,51.00826928639961
Ayesha put the towel in the sun because it was wet.,Ayesha put the towel in the sun because the sun was wet.,-49.24082136154175,-60.16691780090332,1.0,10.926096439361572,44.15717770891497,73.52584564079457
Raghav carried the box because it was too heavy for his sister.,Raghav carried the box because his sister was too heavy for it.,-41.912601470947266,-52.117104053497314,1.0,10.204502582550049,19.960538469011194,41.373901749885604
The monkey dropped the fruit because it was slippery.,The monkey dropped the fruit because the tree was slippery.,-41.783692359924316,-45.78153133392334,1.0,3.9978389739990234,103.81728556160233,97.33446433300807
Mehul stopped the bike because it was skidding.,Mehul stopped the bike because the road was skidding.,-49.0832314491272,-53.4015998840332,1.0,4.318368434906006,86.67035940168249,85.63836086162922
The bottle broke the tile because it fell from the shelf.,The bottle broke the tile because the tile fell from the shelf.,-46.76338577270508,-53.22049140930176,1.0,6.45710563659668,70.19077473941418,84.35557924391885
Ria stitched the shirt because it had a tear.,Ria stitched the shirt because the tear had a shirt.,-50.1126766204834,-69.47706460952759,1.0,19.36438798904419,150.09488519082754,553.4086969327899
The chef covered the pan because it was splashing oil.,The chef covered the pan because the oil was covering the chef.,-47.354599475860596,-61.850990295410156,1.0,14.49639081954956,74.06651854660456,173.16574358914605
Lakshya pushed the trolley because it was blocking the exit.,Lakshya pushed the trolley because the exit was blocking it.,-51.326091289520264,-62.63117980957031,1.0,11.305088520050049,39.101052227671936,87.67665748150034
The candle melted the toy because it touched it.,The candle melted the toy because the toy touched it.,-54.71780204772949,-56.946868896484375,1.0,2.229066848754883,436.9224778265338,297.28369640932726
Arnav mopped the floor because it was sticky.,Arnav mopped the floor because he was sticky.,-43.20431709289551,-49.9099063873291,1.0,6.705589294433594,75.22109492889547,147.08205653103778
Simran saved the file because it was important.,Simran saved the file because the importance saved her.,-50.01448202133179,-71.92866325378418,1.0,21.914181232452393,259.087195974947,1329.90970160176
The child cried because the balloon popped.,The child cried because the child popped.,-34.38111066818237,-43.40854024887085,1.0,9.027429580688477,135.85487743394933,493.3505793164804
Nisha opened the umbrella because it was raining.,Nisha opened the umbrella because the rain opened her.,-35.45245814323425,-55.502004623413086,1.0,20.049546480178833,51.37553137943443,257.28912751741444
The cup fell from the table because it was shaking.,The cup fell from the table because the table was shaking the cup deliberately.,-43.69911193847656,-67.61988544464111,1.0,23.92077350616455,79.0366124504468,125.20993611706155
