,rows__row__sentence_good,rows__row__sentence_bad,log(P(S1)),log(P(S2)),log(P(S1)) > log(P(S2)),Confidence,Ppl(S1),Ppl(S2)
0,Tina revealed Margaret.,The horse revealed Margaret.,-43.11889171600342,-41.89690589904785,0.0,1.2219858169555664,5562.36325722022,4356.312317912069
1,Danielle visited Irene.,The eye visited Irene.,-39.42408084869385,-44.1965446472168,1.0,4.772463798522949,713.8552005687758,1581.4394799845677
2,Paul runs around the art galleries.,The river runs around the art galleries.,-42.27365255355835,-42.06973075866699,0.0,0.20392179489135742,109.62577343545028,67.15296493251864
3,Most banks have praised Raymond.,The jackets have praised Raymond.,-48.50069618225098,-49.24820327758789,1.0,0.7475070953369141,3240.39126957106,1136.2147377014212
4,Every doctor was selling some restaurants.,A cup was selling some restaurants.,-53.299370765686035,-52.00865697860718,0.0,1.2907137870788574,2026.7642274328641,1685.4841650157907
5,Steve bikes to a public park.,Every fork bikes to a public park.,-39.782169342041016,-57.47850751876831,1.0,17.696338176727295,144.42656356619383,593.7752230772088
6,Beth scares Roger.,A carriage scares Roger.,-37.11880445480347,-43.13257598876953,1.0,6.0137715339660645,1675.322379244473,1324.4633861377429
7,Melissa will clean a gate.,This mouth will clean a gate.,-47.43588876724243,-49.08992862701416,1.0,1.6540398597717285,877.042575704682,1110.8124313474552
8,Tanya conceals Adam.,This ice cream conceals Adam.,-44.096351623535156,-47.29311513900757,1.0,3.196763515472412,1555.250550341998,859.335404966348
9,Renee had praised Eric.,The beef had praised Eric.,-43.08454751968384,-49.670310974121094,1.0,6.585763454437256,471.0363936629712,3937.8302882792495
10,Mark hasn't respected a lot of actors.,Every government hasn't respected a lot of actors.,-49.78968620300293,-58.54112958908081,1.0,8.75144338607788,145.3244196767078,204.7768545189781
11,Matt could argue about Bethany.,Every mall could argue about Bethany.,-50.00265979766846,-58.73278999328613,1.0,8.730130195617676,1265.5183928694785,682.5703200620826
12,Kathleen can't fix every carriage.,Some newspaper article can't fix every carriage.,-49.62865161895752,-64.16628837585449,1.0,14.537636756896973,248.21483077979872,611.9366949790995
13,Denise wasn't referencing Homer.,Rice wasn't referencing Homer.,-50.2608585357666,-48.98955202102661,0.0,1.2713065147399902,152.33558047231023,231.2000973568662
14,Vanessa visits Judy.,The ice cream visits Judy.,-35.31653308868408,-43.964534282684326,1.0,8.648001194000244,359.9945340404847,534.1345399342531
15,Beverly would scan a movie.,A pepper would scan a movie.,-46.08256006240845,-49.71464920043945,1.0,3.632089138031006,722.8652770930075,1214.506065808308
16,Liam has respected many waiters.,That banana has respected many waiters.,-50.0947265625,-57.46937084197998,1.0,7.3746442794799805,524.1829791999774,593.1727364694556
17,Some person hadn't passed all high schools.,That casserole hadn't passed all high schools.,-56.738319396972656,-65.1474380493164,1.0,8.40911865234375,291.1480613591802,227.91053709177248
